transaction_id,transaction_amount,transaction_time,merchant_category,customer_age,customer_location,device_type,card_type,transaction_type,previous_fraud_count,avg_transaction_amount,account_age_days,num_transactions_24h,num_transactions_7d,is_international,is_weekend,risk_score,fraud
67,15.19,68136.0,travel,32.0,city_C,,credit,offline,0.0,199.88,482.0,4.0,20.0,0.0,0.0,0.84,0
68,486.15000000000003,64619.0,grocery,50.0,city_C,mobile,debit,offline,0.0,86.77,1930.0,2.0,10.0,1.0,0.0,0.884,1
69,7.75,61842.0,grocery,58.0,city_B,tablet,debit,online,0.0,148.51,843.0,3.0,16.0,0.0,0.0,0.07,0
70,1300.23,26990.0,fashion,60.0,city_B,tablet,debit,offline,1.0,62.32,607.0,4.0,14.0,1.0,0.0,0.841,1
71,147.95,16193.0,electronics,,city_B,,debit,online,,64.71,3042.0,6.0,11.0,0.0,0.0,0.89,0
72,22.15,30109.0,travel,62.0,city_D,desktop,debit,online,1.0,162.25,3251.0,4.0,13.0,0.0,1.0,0.558,0
73,0.55,19233.0,fashion,43.0,city_D,mobile,debit,online,1.0,201.72,3294.0,7.0,12.0,0.0,1.0,0.914,0
74,168.99,81730.0,grocery,33.0,city_C,desktop,debit,online,0.0,164.45,1961.0,1.0,21.0,0.0,0.0,0.834,0
75,122.71,34510.0,food,53.0,city_C,tablet,credit,offline,0.0,,176.0,5.0,15.0,0.0,0.0,0.414,0
76,130.57,1306.0,electronics,50.0,city_A,mobile,debit,online,0.0,99.0,435.0,5.0,14.0,0.0,1.0,0.634,0
77,147.52,3849.0,food,37.0,city_C,tablet,,online,2.0,131.95,212.0,1.0,17.0,0.0,0.0,0.664,0
78,23.07,12360.0,fashion,30.0,city_C,desktop,credit,offline,0.0,122.98,3207.0,8.0,12.0,1.0,0.0,0.995,1
79,44.39,45800.0,grocery,50.0,city_B,desktop,credit,online,0.0,24.02,265.0,4.0,20.0,0.0,0.0,0.333,0
80,36.96,36963.0,travel,22.0,city_B,mobile,debit,offline,1.0,55.14,667.0,2.0,15.0,1.0,0.0,0.918,1
81,198.85,54330.0,food,54.0,city_B,mobile,,online,0.0,79.91,3035.0,3.0,16.0,0.0,1.0,0.685,0
82,97.63,51707.0,travel,31.0,city_B,mobile,credit,online,0.0,116.62,208.0,3.0,10.0,0.0,0.0,0.819,0
83,40.18,18689.0,grocery,44.0,city_B,tablet,debit,online,,,2509.0,2.0,14.0,0.0,1.0,0.414,0
84,6.57,29084.0,food,40.0,city_A,desktop,debit,online,0.0,150.01,3502.0,4.0,15.0,1.0,0.0,0.321,0
85,37.25,40387.0,travel,31.0,,desktop,credit,offline,0.0,115.35,554.0,3.0,10.0,0.0,1.0,0.826,0
86,39.33,74816.0,travel,57.0,city_A,tablet,debit,online,0.0,67.84,2820.0,1.0,15.0,0.0,0.0,0.687,0
87,130.79,2642.0,food,21.0,city_B,mobile,credit,offline,0.0,129.68,1593.0,2.0,25.0,1.0,1.0,0.344,0
88,101.49,42137.0,,56.0,,mobile,credit,offline,0.0,48.0,1944.0,1.0,16.0,0.0,1.0,0.53,0
89,218.23,79832.0,travel,69.0,,tablet,credit,offline,0.0,117.4,2400.0,1.0,19.0,0.0,0.0,,0
90,63.91,55561.0,fashion,36.0,city_B,desktop,credit,online,0.0,29.96,,1.0,9.0,0.0,0.0,0.75,0
91,12.74,62260.0,food,64.0,city_A,desktop,debit,offline,,37.26,1665.0,2.0,,0.0,1.0,0.222,0
92,124.91,15438.0,electronics,21.0,city_B,desktop,credit,offline,0.0,97.3,1753.0,,19.0,0.0,0.0,0.295,0
93,143.04,48442.0,electronics,47.0,city_A,desktop,debit,offline,2.0,84.19,2476.0,3.0,12.0,0.0,0.0,0.265,0
94,82.39,2994.0,grocery,36.0,city_B,tablet,,online,1.0,139.21,366.0,4.0,17.0,0.0,1.0,0.848,0
95,147.39,1813.0,fashion,48.0,city_C,,debit,online,0.0,,3401.0,2.0,22.0,0.0,0.0,0.641,0
96,68.08,84381.0,travel,48.0,city_D,tablet,debit,offline,0.0,225.02,148.0,0.0,10.0,0.0,1.0,0.94,0
97,73.97,55276.0,electronics,26.0,city_D,mobile,credit,offline,1.0,106.74,1611.0,0.0,22.0,1.0,0.0,0.091,0
98,,41243.0,grocery,30.0,,tablet,credit,online,0.0,-44.97,2490.0,4.0,15.0,1.0,0.0,0.052,0
99,2.57,62912.0,fashion,31.0,city_C,desktop,credit,offline,0.0,18.28,609.0,4.0,18.0,0.0,0.0,0.676,0
100,11.42,60272.0,fashion,63.0,city_D,mobile,credit,offline,0.0,60.19,3485.0,2.0,11.0,0.0,1.0,0.267,0
101,3.19,42051.0,grocery,27.0,city_A,tablet,credit,offline,0.0,289.23,3581.0,0.0,11.0,1.0,0.0,0.679,0
102,101.17,78854.0,grocery,65.0,city_B,tablet,debit,online,1.0,118.16,2382.0,3.0,17.0,0.0,1.0,0.723,0
103,37.74,82736.0,travel,48.0,city_B,tablet,credit,offline,1.0,175.43,225.0,0.0,21.0,0.0,0.0,0.304,0
104,71.04,65618.0,grocery,54.0,city_C,mobile,debit,offline,,170.36,362.0,2.0,11.0,0.0,1.0,0.953,0
105,238.13,1920.0,travel,40.0,city_D,tablet,debit,online,2.0,56.65,3121.0,3.0,14.0,0.0,0.0,0.775,0
106,28.67,77219.0,travel,44.0,,desktop,credit,offline,0.0,30.34,652.0,,15.0,0.0,0.0,0.367,0
107,52.83,76872.0,food,23.0,city_A,mobile,debit,online,0.0,152.12,687.0,3.0,9.0,0.0,0.0,,0
108,140.87,81132.0,fashion,43.0,city_B,mobile,debit,online,0.0,8.98,733.0,6.0,16.0,,0.0,0.716,0
109,25.98,2093.0,fashion,19.0,city_B,tablet,credit,online,0.0,168.88,1486.0,,10.0,0.0,0.0,0.304,0
110,8.01,12905.0,fashion,62.0,city_D,desktop,credit,offline,1.0,114.15,912.0,1.0,14.0,1.0,1.0,0.295,0
111,34.21,24351.0,,30.0,city_D,mobile,credit,,0.0,150.8,1479.0,7.0,11.0,0.0,1.0,0.625,0
112,17.58,30981.0,travel,68.0,city_A,tablet,debit,offline,0.0,135.17,1282.0,2.0,11.0,0.0,0.0,0.135,0
113,265.5,73903.0,travel,67.0,city_C,desktop,credit,offline,2.0,137.84,553.0,2.0,6.0,0.0,0.0,0.993,0
114,165.09,70821.0,grocery,36.0,city_C,tablet,credit,offline,0.0,125.22,2294.0,3.0,15.0,0.0,0.0,0.287,0
115,100.35,82289.0,food,18.0,city_B,tablet,debit,offline,0.0,134.08,1019.0,1.0,17.0,0.0,1.0,0.383,0
116,205.15,84021.0,grocery,57.0,city_A,mobile,credit,,0.0,122.3,2452.0,0.0,13.0,0.0,0.0,0.224,0
117,162.8,78513.0,,49.0,city_C,mobile,debit,offline,0.0,51.18,65.0,2.0,18.0,0.0,0.0,0.643,0
118,20.65,19874.0,grocery,39.0,city_C,tablet,debit,online,2.0,,805.0,0.0,15.0,0.0,0.0,0.06,0
119,223.08,50931.0,electronics,65.0,city_B,mobile,credit,offline,0.0,,57.0,3.0,19.0,0.0,0.0,0.928,0
120,77.51,7674.0,fashion,46.0,city_A,,,offline,0.0,135.71,3473.0,2.0,11.0,0.0,0.0,0.304,0
121,164.73,50516.0,fashion,19.0,city_C,desktop,debit,online,0.0,177.12,115.0,1.0,18.0,0.0,0.0,0.927,0
122,226.42,60686.0,travel,57.0,city_D,desktop,credit,offline,0.0,70.84,2265.0,,18.0,0.0,1.0,0.254,0
123,38.27,69212.0,electronics,55.0,city_D,tablet,credit,online,0.0,69.97,2382.0,5.0,16.0,0.0,1.0,0.514,0
124,11.66,2426.0,fashion,65.0,,tablet,credit,offline,0.0,59.83,2843.0,2.0,11.0,,1.0,0.695,0
125,25.87,68498.0,travel,28.0,city_B,tablet,debit,offline,0.0,53.41,3523.0,3.0,14.0,0.0,0.0,0.613,0
126,55.71,29943.0,electronics,34.0,city_B,tablet,debit,online,,38.88,2157.0,4.0,12.0,0.0,1.0,0.512,0
127,170.38,,fashion,68.0,city_B,desktop,credit,online,0.0,,215.0,4.0,18.0,0.0,1.0,0.789,0
128,197.13,44816.0,grocery,60.0,city_C,mobile,credit,offline,0.0,102.21,1058.0,,12.0,1.0,0.0,0.47,0
129,,4138.0,food,25.0,city_A,desktop,credit,online,0.0,163.77,587.0,3.0,12.0,1.0,1.0,0.954,1
130,71.49,75945.0,electronics,39.0,city_B,tablet,debit,offline,0.0,104.48,3598.0,1.0,13.0,,1.0,0.719,0
131,,4017.0,travel,21.0,city_B,tablet,credit,offline,,-0.16,2586.0,4.0,9.0,0.0,1.0,0.937,0
132,25.12,10451.0,electronics,28.0,city_C,desktop,debit,offline,1.0,142.18,,4.0,12.0,0.0,1.0,0.601,0
133,12.77,62956.0,travel,25.0,city_B,desktop,credit,offline,1.0,18.48,1000.0,0.0,11.0,0.0,1.0,0.28,0
134,41.19,10278.0,,26.0,city_B,tablet,debit,offline,0.0,130.72,1055.0,3.0,14.0,0.0,1.0,0.763,0
135,286.31,43764.0,travel,43.0,city_A,mobile,debit,offline,0.0,81.43,246.0,5.0,8.0,0.0,0.0,0.762,0
136,39.04,1134.0,fashion,,city_D,tablet,,online,0.0,131.63,3638.0,4.0,18.0,0.0,1.0,0.267,0
137,73.15,62943.0,grocery,33.0,,desktop,debit,online,1.0,47.82,286.0,,23.0,0.0,1.0,,0
138,121.41,54318.0,fashion,48.0,city_C,tablet,debit,online,1.0,158.92,1506.0,4.0,11.0,0.0,0.0,0.141,0
139,45.2,60128.0,grocery,23.0,city_A,tablet,credit,offline,0.0,121.88,1477.0,2.0,14.0,1.0,0.0,0.08,0
140,356.78,21869.0,fashion,38.0,city_C,mobile,credit,,,102.79,353.0,1.0,17.0,0.0,0.0,0.807,0
141,328.2,5039.0,fashion,43.0,city_A,tablet,debit,offline,0.0,35.26,3600.0,3.0,6.0,0.0,1.0,0.373,0
142,29.01,21281.0,electronics,36.0,city_A,tablet,debit,,0.0,210.53,1634.0,1.0,15.0,1.0,0.0,0.281,0
143,68.77,10442.0,food,45.0,city_B,tablet,debit,offline,1.0,74.66,2274.0,7.0,16.0,1.0,0.0,0.256,0
144,35.79,,travel,25.0,,desktop,credit,offline,0.0,133.15,533.0,4.0,17.0,,0.0,0.075,0
145,,27586.0,travel,31.0,city_B,desktop,debit,offline,0.0,72.56,3373.0,2.0,13.0,0.0,1.0,0.985,0
146,3.76,53053.0,,41.0,city_D,mobile,,offline,0.0,308.87,723.0,6.0,14.0,0.0,1.0,0.367,0
147,94.05,50489.0,grocery,65.0,city_D,tablet,credit,offline,0.0,127.47,988.0,6.0,21.0,0.0,0.0,0.164,0
148,69.85,83104.0,travel,61.0,city_C,desktop,credit,online,0.0,89.27,2095.0,1.0,15.0,0.0,0.0,0.864,0
149,5.29,86346.0,,54.0,city_B,mobile,credit,offline,1.0,150.29,2184.0,2.0,10.0,0.0,1.0,0.723,0
150,32.66,,electronics,43.0,city_D,tablet,credit,online,0.0,157.5,3630.0,1.0,13.0,0.0,0.0,0.663,0
151,238.89,12625.0,fashion,48.0,city_B,mobile,credit,offline,,139.73,154.0,4.0,17.0,0.0,0.0,0.297,0
152,27.39,34397.0,travel,,city_D,mobile,debit,,0.0,103.82,512.0,2.0,18.0,1.0,1.0,0.415,0
153,46.95,58671.0,food,49.0,city_D,mobile,debit,offline,1.0,142.03,3105.0,4.0,12.0,1.0,0.0,0.832,1
154,67.23,66897.0,travel,67.0,,mobile,debit,online,1.0,112.23,2704.0,3.0,10.0,0.0,,0.64,0
155,424.4,26149.0,grocery,58.0,city_B,mobile,credit,offline,0.0,118.74,2428.0,2.0,8.0,0.0,,0.346,0
156,27.71,60030.0,grocery,19.0,city_B,mobile,credit,online,0.0,,380.0,1.0,13.0,0.0,0.0,0.109,0
157,111.52,69906.0,grocery,42.0,city_D,mobile,credit,offline,0.0,46.83,678.0,2.0,17.0,0.0,0.0,,0
158,143.39,5283.0,travel,69.0,city_B,tablet,debit,online,0.0,148.16,2978.0,5.0,13.0,0.0,0.0,0.956,0
159,27.13,7610.0,electronics,61.0,city_D,tablet,credit,online,0.0,150.32,257.0,3.0,15.0,0.0,1.0,0.719,0
160,130.27,43326.0,food,19.0,city_B,mobile,credit,online,0.0,184.83,2093.0,5.0,17.0,0.0,0.0,0.691,0
161,45.85,14924.0,travel,59.0,city_A,tablet,credit,offline,0.0,122.43,1863.0,5.0,13.0,0.0,0.0,0.538,0
162,100.05,76162.0,electronics,18.0,city_B,mobile,debit,offline,2.0,109.21,454.0,5.0,12.0,0.0,0.0,0.972,0
163,100.38,869.0,,53.0,city_A,tablet,credit,online,,49.51,2541.0,3.0,10.0,0.0,0.0,0.694,0
164,76.74,1014.0,travel,29.0,city_C,desktop,credit,offline,0.0,118.02,753.0,2.0,18.0,0.0,1.0,0.077,0
165,9.46,10103.0,travel,26.0,city_B,mobile,debit,offline,0.0,138.01,3347.0,6.0,22.0,1.0,1.0,0.092,0
166,180.36,82522.0,electronics,53.0,city_B,desktop,credit,offline,1.0,29.01,1851.0,3.0,16.0,0.0,1.0,0.964,0
167,38.68,,electronics,58.0,city_B,mobile,credit,online,0.0,173.45,,3.0,15.0,0.0,0.0,0.943,0
168,20.64,82409.0,electronics,45.0,,mobile,credit,online,0.0,84.4,206.0,4.0,16.0,0.0,0.0,0.558,0
169,,23248.0,travel,55.0,city_B,desktop,debit,offline,0.0,110.19,2620.0,3.0,19.0,0.0,1.0,0.214,0
170,89.38,43516.0,electronics,50.0,city_B,desktop,credit,online,0.0,149.89,,,22.0,0.0,0.0,0.584,0
171,113.19,29061.0,grocery,59.0,city_D,desktop,credit,offline,0.0,119.63,1615.0,3.0,9.0,0.0,0.0,0.764,0
172,1.67,24170.0,travel,63.0,city_C,mobile,debit,offline,0.0,190.17,,1.0,17.0,0.0,0.0,0.008,0
173,71.76,8024.0,grocery,39.0,city_A,desktop,debit,online,1.0,151.44,593.0,6.0,14.0,0.0,1.0,0.823,0
174,25.68,82214.0,fashion,42.0,city_D,desktop,credit,online,1.0,112.58,2310.0,3.0,12.0,0.0,1.0,0.465,0
175,103.61,85947.0,travel,35.0,city_A,tablet,debit,offline,0.0,-36.01,3139.0,4.0,11.0,0.0,0.0,0.463,0
176,19.16,43803.0,fashion,23.0,city_D,tablet,credit,offline,0.0,169.81,2568.0,9.0,9.0,0.0,1.0,0.434,0
177,117.42,19296.0,electronics,35.0,city_C,desktop,debit,offline,0.0,61.02,1046.0,2.0,21.0,0.0,1.0,0.692,0
178,48.9,18257.0,,69.0,city_D,desktop,credit,online,1.0,162.59,473.0,3.0,16.0,0.0,0.0,0.209,0
179,276.03,,food,33.0,city_A,desktop,credit,online,1.0,144.51,2097.0,4.0,11.0,0.0,0.0,0.607,0
180,14.79,85178.0,electronics,32.0,city_B,desktop,credit,offline,,110.06,140.0,2.0,15.0,0.0,0.0,0.044,0
181,41.71,20025.0,fashion,65.0,city_B,tablet,debit,offline,0.0,167.66,2564.0,5.0,12.0,0.0,1.0,0.811,0
182,12.04,4458.0,electronics,25.0,city_C,mobile,debit,online,,146.05,118.0,1.0,15.0,0.0,0.0,0.815,0
183,258.62,,travel,30.0,city_A,desktop,credit,offline,0.0,136.42,3420.0,2.0,8.0,0.0,0.0,0.312,0
184,209.83,70843.0,electronics,60.0,city_A,desktop,credit,,0.0,34.18,1171.0,2.0,12.0,0.0,,,0
185,29.83,83961.0,food,24.0,city_A,tablet,credit,online,0.0,121.99,2511.0,5.0,19.0,0.0,0.0,0.748,0
186,107.88,49831.0,electronics,34.0,city_C,desktop,credit,offline,0.0,57.86,1971.0,3.0,21.0,0.0,0.0,0.47,0
187,169.95,43427.0,fashion,67.0,city_B,desktop,debit,offline,1.0,65.2,,,14.0,0.0,1.0,0.925,0
188,81.01,38506.0,fashion,49.0,,tablet,debit,online,0.0,101.94,101.0,2.0,,0.0,0.0,0.353,0
189,75.43,5668.0,electronics,39.0,city_C,desktop,credit,offline,0.0,193.17,851.0,3.0,21.0,0.0,0.0,0.842,0
190,27.69,47195.0,fashion,,city_D,desktop,debit,online,0.0,138.27,3500.0,4.0,16.0,0.0,,0.025,0
191,9.77,73233.0,fashion,30.0,city_B,tablet,debit,online,0.0,141.56,845.0,0.0,14.0,1.0,1.0,0.773,0
192,227.51,24417.0,food,64.0,city_C,mobile,debit,online,0.0,158.52,433.0,,19.0,0.0,0.0,0.678,0
193,230.68,81982.0,travel,40.0,city_B,desktop,credit,offline,0.0,76.27,1728.0,5.0,,1.0,0.0,0.526,0
194,300.81,10751.0,food,46.0,city_D,desktop,credit,offline,0.0,41.18,280.0,0.0,17.0,1.0,0.0,,1
195,41.4,46218.0,grocery,39.0,city_A,mobile,debit,offline,0.0,32.3,2946.0,3.0,13.0,0.0,0.0,0.942,0
196,128.88,7352.0,food,,city_A,tablet,debit,online,,,3296.0,3.0,13.0,1.0,0.0,0.92,1
197,129.45,79052.0,electronics,46.0,city_D,mobile,credit,online,0.0,169.33,2072.0,2.0,9.0,0.0,0.0,,0
198,227.41,28927.0,travel,,city_A,desktop,credit,,0.0,165.64,1625.0,3.0,15.0,1.0,0.0,0.519,0
199,218.11,41094.0,electronics,22.0,city_D,mobile,credit,online,0.0,78.45,1663.0,0.0,,1.0,0.0,0.269,0
200,151.36,54122.0,grocery,52.0,city_C,tablet,debit,offline,0.0,187.77,1983.0,5.0,12.0,0.0,1.0,0.162,0
201,102.73,29493.0,travel,27.0,city_C,desktop,debit,offline,0.0,222.15,897.0,6.0,10.0,0.0,1.0,0.557,0
202,8.79,73539.0,fashion,36.0,city_C,tablet,debit,offline,0.0,150.38,1920.0,3.0,20.0,0.0,0.0,0.148,0
203,17.63,31707.0,food,54.0,city_A,tablet,credit,online,0.0,194.36,3323.0,4.0,14.0,0.0,0.0,0.172,0
204,228.82,68814.0,electronics,24.0,city_B,mobile,credit,online,,,3283.0,4.0,7.0,1.0,0.0,0.357,0
205,93.25,7296.0,grocery,63.0,city_A,mobile,,offline,0.0,108.51,925.0,1.0,13.0,1.0,1.0,0.187,0
206,0.92,25398.0,fashion,52.0,city_A,tablet,credit,online,0.0,86.77,285.0,5.0,14.0,0.0,1.0,0.502,0
207,10.7,35842.0,food,,city_B,tablet,credit,offline,0.0,,1961.0,5.0,17.0,0.0,1.0,0.664,0
208,108.92,13261.0,fashion,30.0,city_B,desktop,debit,online,0.0,97.76,1141.0,2.0,9.0,0.0,0.0,0.698,0
209,0.51,76709.0,food,27.0,city_B,tablet,debit,online,0.0,108.16,902.0,2.0,12.0,0.0,0.0,0.533,0
210,17.53,56704.0,travel,19.0,city_B,tablet,debit,online,1.0,109.26,521.0,2.0,9.0,1.0,0.0,0.522,0
211,79.57,67173.0,fashion,23.0,city_A,,credit,,0.0,114.37,2413.0,8.0,16.0,0.0,0.0,0.475,0
212,117.73,31781.0,,25.0,city_D,tablet,debit,online,0.0,5.32,1591.0,3.0,12.0,0.0,0.0,0.245,0
213,105.54,13652.0,fashion,53.0,city_C,tablet,credit,offline,1.0,158.95,1460.0,5.0,19.0,0.0,0.0,0.654,0
214,25.39,5103.0,travel,42.0,city_D,mobile,debit,offline,0.0,164.75,662.0,2.0,10.0,1.0,1.0,0.657,0
